Temperature,pH,Time
33.06,7.26,8/10/2024 13:57
28.44,7.21,8/10/2024 13:57
27.19,7.18,8/10/2024 13:58
26.81,7.11,8/10/2024 13:59
26.69,7.1,8/10/2024 14:00
26.69,7.19,8/10/2024 14:01
26.63,7.18,8/10/2024 14:01
26.31,7.13,8/10/2024 14:02
26.19,7.13,8/10/2024 14:03
26.19,7.12,8/10/2024 14:04
26.25,7.09,8/10/2024 14:05
26.19,7.09,8/10/2024 14:05
26.19,7.08,8/10/2024 14:06
26.19,7.02,8/10/2024 14:07
26.19,7.06,8/10/2024 14:08
26.19,7.05,8/10/2024 14:09
26.25,7.04,8/10/2024 14:10
26.19,7.02,8/10/2024 14:10
26.25,6.97,8/10/2024 14:11
26.19,6.96,8/10/2024 14:12
25.94,6.95,8/10/2024 14:13
26.25,6.97,8/10/2024 14:14
26.25,6.95,8/10/2024 14:14
26.25,6.96,8/10/2024 14:15
26.31,6.96,8/10/2024 14:16
26.31,6.96,8/10/2024 14:17
26.25,6.95,8/10/2024 14:18
26.31,6.95,8/10/2024 14:19
26.31,6.97,8/10/2024 14:19
26.31,6.95,8/10/2024 14:20
26.31,6.95,8/10/2024 14:21
26.31,6.94,8/10/2024 14:22
26.31,6.95,8/10/2024 14:23
26.31,6.97,8/10/2024 14:23
26.31,6.95,8/10/2024 14:24
26.25,6.95,8/10/2024 14:25
26.25,6.95,8/10/2024 14:26
26.31,6.95,8/10/2024 14:27
26.31,6.97,8/10/2024 14:28
26.25,6.95,8/10/2024 14:28
26.31,6.95,8/10/2024 14:29
26.31,6.95,8/10/2024 14:30
26.31,6.96,8/10/2024 14:32
26.31,6.97,8/10/2024 14:33
26.31,6.95,8/10/2024 14:33
26.31,6.96,8/10/2024 14:34
26.31,6.95,8/10/2024 14:35
26.31,6.96,8/10/2024 14:36
26.31,6.95,8/10/2024 14:37
26.31,6.95,8/10/2024 14:37
26.31,6.97,8/10/2024 14:38
26.31,6.95,8/10/2024 14:39
26.31,6.96,8/10/2024 14:40
26.31,6.95,8/10/2024 14:41
26.31,6.95,8/10/2024 14:41
26.38,6.95,8/10/2024 14:42
26.31,6.95,8/10/2024 14:43
26.31,6.96,8/10/2024 14:44
26.38,6.94,8/10/2024 14:45
26.31,6.95,8/10/2024 14:46
26.31,6.96,8/10/2024 14:46
26.31,6.94,8/10/2024 14:47
26.31,6.95,8/10/2024 14:48
26.38,6.95,8/10/2024 14:49
26.31,6.95,8/10/2024 14:50
26.31,6.96,8/10/2024 14:50
26.31,6.95,8/10/2024 14:51
26.31,6.96,8/10/2024 14:52
26.31,6.96,8/10/2024 14:53
26.31,6.95,8/10/2024 14:54
26.31,6.96,8/10/2024 14:55
26.25,6.95,8/10/2024 14:55
26.31,6.95,8/10/2024 14:56
26.31,6.95,8/10/2024 14:57
26.31,6.96,8/10/2024 14:58
26.25,6.96,8/10/2024 14:59
26.31,6.95,8/10/2024 14:59
26.25,6.94,8/10/2024 15:00
26.31,6.95,8/10/2024 15:01
26.31,6.96,8/10/2024 15:02
26.31,6.96,8/10/2024 15:03
26.31,6.94,8/10/2024 15:04
26.25,6.96,8/10/2024 15:04
26.31,6.95,8/10/2024 15:05
26.31,6.96,8/10/2024 15:06
26.31,6.95,8/10/2024 15:07
26.25,6.96,8/10/2024 15:08
26.25,6.94,8/10/2024 15:08
26.25,6.96,8/10/2024 15:09
26.25,6.95,8/10/2024 15:10
26.31,6.95,8/10/2024 15:11
26.25,6.95,8/10/2024 15:12
26.25,6.96,8/10/2024 15:12
26.25,6.95,8/10/2024 15:13
26.25,6.94,8/10/2024 15:14
26.25,6.96,8/10/2024 15:15
26.25,6.95,8/10/2024 15:16
26.25,6.96,8/10/2024 15:17
26.25,6.95,8/10/2024 15:17
26.25,6.95,8/10/2024 15:18
26.25,6.96,8/10/2024 15:19
